2022-08-09 14:38:19.356 *** Mouse movement ***  Mouse coords: (558, 472) (63576, 42115)
2022-08-09 14:38:19.592 *** Keyboard input *** key pressed: key: 16777248; text: ""
2022-08-09 14:38:20.048 *** Mouse movement ***  Mouse coords: (559, 472) (63736, 41955)
2022-08-09 14:38:20.071 *** Mouse movement ***  Mouse coords: (561, 474) (63896, 42275)
2022-08-09 14:38:20.106 *** Mouse movement ***  Mouse coords: (568, 478) (64696, 42595)
2022-08-09 14:38:20.122 *** Mouse movement ***  Mouse coords: (573, 481) (64376, 42435)
2022-08-09 14:38:20.139 *** Mouse movement ***  Mouse coords: (577, 484) (64216, 42435)
2022-08-09 14:38:20.156 *** Mouse movement ***  Mouse coords: (579, 485) (63896, 42115)
2022-08-09 14:38:20.172 *** Mouse movement ***  Mouse coords: (581, 485) (63896, 41955)
2022-08-09 14:38:21.811 *** Mouse movement ***  Mouse coords: (660, 487) (76216, 42275)
2022-08-09 14:38:21.819 *** Mouse movement ***  Mouse coords: (660, 488) (76216, 42435)
2022-08-09 14:38:21.840 *** Mouse movement ***  Mouse coords: (663, 492) (76696, 43075)
2022-08-09 14:38:21.856 *** Mouse movement ***  Mouse coords: (666, 498) (77176, 44035)
2022-08-09 14:38:21.872 *** Mouse movement ***  Mouse coords: (668, 500) (77496, 44355)
2022-08-09 14:38:21.889 *** Mouse movement ***  Mouse coords: (668, 501) (77496, 44515)
2022-08-09 14:38:21.906 *** Mouse movement ***  Mouse coords: (668, 502) (77496, 44675)
2022-08-09 14:38:21.923 *** Mouse movement ***  Mouse coords: (669, 503) (77656, 44835)
2022-08-09 14:38:21.940 *** Mouse movement ***  Mouse coords: (669, 504) (77656, 44995)
2022-08-09 14:38:23.244 *** Mouse movement ***  Mouse coords: (556, 502) (62829, 41552)
2022-08-09 14:38:23.271 *** Mouse movement ***  Mouse coords: (559, 497) (62919, 41433)
2022-08-09 14:38:23.306 *** Mouse movement ***  Mouse coords: (565, 486) (63008, 41253)
2022-08-09 14:38:23.323 *** Mouse movement ***  Mouse coords: (567, 482) (62889, 41463)
2022-08-09 14:38:23.339 *** Mouse movement ***  Mouse coords: (569, 479) (62888, 41492)
2022-08-09 14:38:23.356 *** Mouse movement ***  Mouse coords: (571, 476) (62889, 41493)
2022-08-09 14:38:25.266 *** Program closed.
